16/10/19 15:11: Setting delay=1000
16/10/19 15:11: Setting logging=false
16/10/19 15:11: Setting timeout=5000
16/10/19 15:11: Adding url to queue for scraping: https://www.kurzy.cz/kurzy-men/
16/10/19 15:11: Starting to parse url https://www.kurzy.cz/kurzy-men/
16/10/19 15:11: Javascript running: true - waiting 3000ms
16/10/19 15:11: Loading page...
16/10/19 15:12: Page loaded...
16/10/19 15:12: Parsing defined dataItem from input file: kurzyMen
16/10/19 15:12: New data pair saved: mena - USD
16/10/19 15:12: New data pair saved: mena - AUD
16/10/19 15:12: New data pair saved: mena - BRL
16/10/19 15:12: New data pair saved: mena - GBP
16/10/19 15:12: New data pair saved: mena - BGN
16/10/19 15:12: New data pair saved: mena - CNY
16/10/19 15:12: New data pair saved: mena - DKK
16/10/19 15:12: New data pair saved: mena - EUR
16/10/19 15:12: New data pair saved: mena - PHP
16/10/19 15:12: New data pair saved: mena - HKD
16/10/19 15:12: New data pair saved: mena - HRK
16/10/19 15:12: New data pair saved: mena - INR
16/10/19 15:12: New data pair saved: mena - IDR
16/10/19 15:12: New data pair saved: mena - ISK
16/10/19 15:12: New data pair saved: mena - ILS
16/10/19 15:12: New data pair saved: mena - JPY
16/10/19 15:12: New data pair saved: mena - ZAR
16/10/19 15:12: New data pair saved: mena - KRW
16/10/19 15:12: New data pair saved: mena - CAD
16/10/19 15:12: New data pair saved: mena - HUF
16/10/19 15:12: New data pair saved: mena - MYR
16/10/19 15:12: New data pair saved: mena - MXN
16/10/19 15:12: New data pair saved: mena - XDR
16/10/19 15:12: New data pair saved: mena - NOK
16/10/19 15:12: New data pair saved: mena - NZD
16/10/19 15:12: New data pair saved: mena - PLN
16/10/19 15:12: New data pair saved: mena - RON
16/10/19 15:12: New data pair saved: mena - RUB
16/10/19 15:12: New data pair saved: mena - SGD
16/10/19 15:12: New data pair saved: mena - SEK
16/10/19 15:12: New data pair saved: mena - CHF
16/10/19 15:12: New data pair saved: mena - THB
16/10/19 15:12: New data pair saved: mena - TRY
16/10/19 15:12: New data pair saved: hodnotaDnes - 23.3650
16/10/19 15:12: New data pair saved: hodnotaDnes - 15.7140
16/10/19 15:12: New data pair saved: hodnotaDnes - 5.5980
16/10/19 15:12: New data pair saved: hodnotaDnes - 29.7600
16/10/19 15:12: New data pair saved: hodnotaDnes - 13.1700
16/10/19 15:12: New data pair saved: hodnotaDnes - 3.2910
16/10/19 15:12: New data pair saved: hodnotaDnes - 3.4480
16/10/19 15:12: New data pair saved: hodnotaDnes - 25.7600
16/10/19 15:12: New data pair saved: hodnotaDnes - 45.3160
16/10/19 15:12: New data pair saved: hodnotaDnes - 2.9780
16/10/19 15:12: New data pair saved: hodnotaDnes - 3.4660
16/10/19 15:12: New data pair saved: hodnotaDnes - 32.7050
16/10/19 15:12: New data pair saved: hodnotaDnes - 1.6490
16/10/19 15:12: New data pair saved: hodnotaDnes - 18.6260
16/10/19 15:12: New data pair saved: hodnotaDnes - 6.5980
16/10/19 15:12: New data pair saved: hodnotaDnes - 21.4880
16/10/19 15:12: New data pair saved: hodnotaDnes - 1.5600
16/10/19 15:12: New data pair saved: hodnotaDnes - 1.9660
16/10/19 15:12: New data pair saved: hodnotaDnes - 17.6890
16/10/19 15:12: New data pair saved: hodnotaDnes - 7.7350
16/10/19 15:12: New data pair saved: hodnotaDnes - 5.5700
16/10/19 15:12: New data pair saved: hodnotaDnes - 1.2150
16/10/19 15:12: New data pair saved: hodnotaDnes - 32.0270
